State,Year,Cases,Real_Population,Cases_Per_100k,Cases_Per_10k,Cases_Per_1k
WPKL/PUTRAJAYA,2011,2038,1770500.0,115.10872634848911,11.510872634848914,1.1510872634848912
N.SEMBILAN,2011,737,1047400.0,70.36471262172999,7.036471262173,0.7036471262173
MELAKA,2011,450,833200.0,54.00864138262122,5.400864138262122,0.5400864138262121
JOHOR,2011,1583,3410500.0,46.41548160093828,4.641548160093827,0.4641548160093828
PAHANG,2011,894,1526800.0,58.55383809274299,5.855383809274299,0.5855383809274299
TERENGGANU,2011,675,1079000.0,62.55792400370714,6.255792400370714,0.6255792400370714
KELANTAN,2011,743,1618800.0,45.89819619471213,4.589819619471213,0.4589819619471213
SARAWAK,2011,974,2527900.0,38.53000514260849,3.8530005142608488,0.3853000514260849
SABAH,2011,402,3345500.0,12.016141085039605,1.2016141085039604,0.12016141085039606
LABUAN,2011,16,89400.0,17.89709172259508,1.789709172259508,0.1789709172259508
PERLIS,2012,172,239400.0,71.84628237259817,7.184628237259816,0.7184628237259817
KEDAH,2012,817,2001100.0,40.82754485033232,4.082754485033232,0.4082754485033232
PULAU PINANG,2012,791,1623200.0,48.73090192212913,4.873090192212913,0.4873090192212913
PERAK,2012,1716,2427000.0,70.70457354758962,7.070457354758961,0.7070457354758961
SELANGOR,2012,9113,5702400.0,159.80990460157128,15.980990460157127,1.5980990460157127
WPKL/PUTRAJAYA,2012,1814,1780400.0,101.88721635587508,10.188721635587509,1.0188721635587508
N.SEMBILAN,2012,552,1057700.0,52.18871135482652,5.218871135482652,0.5218871135482651
MELAKA,2012,449,843200.0,53.24952561669829,5.324952561669829,0.5324952561669829
JOHOR,2012,1650,3450400.0,47.82054254579179,4.7820542545791795,0.4782054254579179
PAHANG,2012,641,1547100.0,41.43235731368367,4.1432357313683665,0.41432357313683665
TERENGGANU,2012,739,1094100.0,67.54410017365872,6.754410017365871,0.6754410017365872
KELANTAN,2012,1245,1651000.0,75.40884312537855,7.540884312537856,0.7540884312537856
SARAWAK,2012,1519,2569700.0,59.11195859438845,5.911195859438846,0.5911195859438846
SABAH,2012,672,3432700.0,19.576426719491945,1.9576426719491944,0.19576426719491943
LABUAN,2012,10,90500.0,11.049723756906078,1.1049723756906078,0.11049723756906077
PERLIS,2013,226,242100.0,93.34985543163982,9.334985543163981,0.9334985543163982
KEDAH,2013,813,2039800.0,39.85684871065791,3.9856848710657906,0.39856848710657905
PULAU PINANG,2013,1053,1662600.0,63.33453626849513,6.333453626849513,0.6333453626849513
PERAK,2013,2519,2447200.0,102.933965348153,10.2933965348153,1.02933965348153
SELANGOR,2013,23852,5904700.0,403.9493962436703,40.394939624367034,4.039493962436703
WPKL/PUTRAJAYA,2013,2570,1803100.0,142.53230547390606,14.253230547390606,1.4253230547390605
N.SEMBILAN,2013,1198,1072200.0,111.73288565566126,11.173288565566127,1.1173288565566126
MELAKA,2013,1505,856700.0,175.67409828411346,17.567409828411346,1.7567409828411344
JOHOR,2013,4828,3474400.0,138.95924476168543,13.895924476168547,1.3895924476168546
PAHANG,2013,725,1568700.0,46.216612481672726,4.621661248167272,0.46216612481672725
TERENGGANU,2013,600,1113400.0,53.88898868331237,5.388898868331237,0.5388898868331238
KELANTAN,2013,1427,1683500.0,84.76388476388476,8.476388476388477,0.8476388476388477
SARAWAK,2013,1292,2642500.0,48.89309366130559,4.889309366130559,0.4889309366130558
SABAH,2013,724,3611500.0,20.04707185380036,2.004707185380036,0.2004707185380036
LABUAN,2013,14,91400.0,15.317286652078774,1.5317286652078774,0.15317286652078774
PERLIS,2014,317,245100.0,129.33496532027746,12.933496532027744,1.2933496532027744
KEDAH,2014,1014,2062700.0,49.15886944296312,4.91588694429631,0.49158869442963105
PULAU PINANG,2014,3141,1678100.0,187.17597282641083,18.717597282641083,1.8717597282641083
PERAK,2014,7525,2458800.0,306.0435985033349,30.604359850333495,3.0604359850333496
SELANGOR,2014,54290,6051300.0,897.1625931618,89.71625931618,8.971625931618
WPKL/PUTRAJAYA,2014,7185,1818300.0,395.14931529450587,39.514931529450585,3.951493152945059
N.SEMBILAN,2014,3781,1079600.0,350.22230455724343,35.02223045572434,3.502223045572434
MELAKA,2014,2770,871700.0,317.76987495698063,31.77698749569806,3.177698749569806
JOHOR,2014,6323,3559800.0,177.62233833361424,17.762233833361424,1.7762233833361425
PAHANG,2014,2170,1591700.0,136.33222340893383,13.633222340893383,1.3633222340893383
TERENGGANU,2014,1688,1140400.0,148.01823921431077,14.801823921431078,1.4801823921431077
KELANTAN,2014,14456,1723400.0,838.8070094000232,83.88070094000233,8.388070094000232
SARAWAK,2014,2571,2664000.0,96.509009009009,9.6509009009009,0.9650900900900901
SABAH,2014,1456,3669900.0,39.67410556145944,3.967410556145944,0.3967410556145944
LABUAN,2014,11,93800.0,11.727078891257996,1.1727078891257996,0.11727078891257996
PERLIS,2015,258,248500.0,103.82293762575452,10.382293762575452,1.0382293762575452
KEDAH,2015,1000,2096500.0,47.69854519437157,4.769854519437157,0.4769854519437157
PULAU PINANG,2015,5830,1698100.0,343.3248925269419,34.33248925269419,3.4332489252694187
PERAK,2015,9466,2466900.0,383.7204588755118,38.37204588755118,3.837204588755118
SELANGOR,2015,63198,6178000.0,1022.9524117837487,102.29524117837488,10.229524117837489
WPKL/PUTRAJAYA,2015,8332,1863400.0,447.13963722228186,44.713963722228186,4.471396372222818
N.SEMBILAN,2015,2454,1088800.0,225.3857457751653,22.53857457751653,2.253857457751653
MELAKA,2015,2420,889000.0,272.2159730033746,27.221597300337457,2.722159730033746
JOHOR,2015,15743,3610300.0,436.05794532310335,43.605794532310334,4.360579453231034
PAHANG,2015,3001,1607900.0,186.64096025872257,18.664096025872258,1.8664096025872257
TERENGGANU,2015,1455,1161000.0,125.32299741602068,12.532299741602067,1.2532299741602067
KELANTAN,2015,2850,1760600.0,161.87663296603432,16.187663296603432,1.6187663296603432
SARAWAK,2015,1923,2701500.0,71.18267629094947,7.118267629094947,0.7118267629094948
SABAH,2015,2904,3720500.0,78.05402499664024,7.805402499664023,0.7805402499664024
LABUAN,2015,2,95100.0,2.1030494216614093,0.21030494216614093,0.02103049421661409
PERLIS,2016,183,251000.0,72.90836653386455,7.290836653386455,0.7290836653386454
KEDAH,2016,994,2119700.0,46.89342831532764,4.689342831532763,0.4689342831532764
PULAU PINANG,2016,2576,1717700.0,149.96798043895907,14.996798043895907,1.499679804389591
PERAK,2016,3777,2482100.0,152.16953386245518,15.216953386245518,1.5216953386245518
SELANGOR,2016,51652,6291500.0,820.9806882301518,82.09806882301518,8.209806882301518
WPKL/PUTRAJAYA,2016,8663,1874100.0,462.24854596873166,46.224854596873165,4.622485459687317
N.SEMBILAN,2016,2879,1099300.0,261.8939325025016,26.18939325025016,2.618939325025016
MELAKA,2016,2299,901100.0,255.1326156919321,25.513261569193208,2.551326156919321
JOHOR,2016,10641,3651800.0,291.390547127444,29.1390547127444,2.91390547127444
PAHANG,2016,3050,1626700.0,187.4961578656175,18.74961578656175,1.874961578656175
TERENGGANU,2016,2009,1183400.0,169.76508365725874,16.976508365725874,1.6976508365725875
KELANTAN,2016,6180,1796700.0,343.96393387877777,34.39639338787778,3.439639338787778
SARAWAK,2016,2773,2738700.0,101.25241903092709,10.125241903092709,1.0125241903092708
SABAH,2016,3668,3802800.0,96.45524350478594,9.645524350478594,0.9645524350478594
LABUAN,2016,13,96800.0,13.429752066115704,1.3429752066115703,0.13429752066115702
PERLIS,2017,175,252000.0,69.44444444444444,6.944444444444445,0.6944444444444444
KEDAH,2017,1430,2143900.0,66.70087224217548,6.670087224217547,0.6670087224217548
PULAU PINANG,2017,2681,1744100.0,153.71825010033828,15.37182501003383,1.5371825010033828
PERAK,2017,5411,2493200.0,217.03032247713784,21.703032247713782,2.1703032247713785
SELANGOR,2017,45290,6380700.0,709.7967307662168,70.97967307662168,7.097967307662168
WPKL/PUTRAJAYA,2017,8350,1880700.0,443.9836231190514,44.39836231190514,4.4398362311905135
N.SEMBILAN,2017,3055,1114000.0,274.2369838420108,27.423698384201078,2.7423698384201076
MELAKA,2017,1425,913100.0,156.06176760486255,15.606176760486255,1.5606176760486254
JOHOR,2017,7932,3697000.0,214.5523397349202,21.45523397349202,2.145523397349202
PAHANG,2017,1690,1647000.0,102.61080752884033,10.26108075288403,1.026108075288403
TERENGGANU,2017,292,1208000.0,24.17218543046358,2.4172185430463577,0.24172185430463577
KELANTAN,2017,2515,1829000.0,137.50683433570256,13.750683433570257,1.3750683433570257
SARAWAK,2017,952,2766300.0,34.41419947221921,3.441419947221921,0.3441419947221921
SABAH,2017,2560,3855900.0,66.39176327186908,6.639176327186908,0.6639176327186908
LABUAN,2017,91,97600.0,93.2377049180328,9.323770491803279,0.9323770491803278
PERLIS,2018,369,253500.0,145.56213017751475,14.556213017751478,1.4556213017751478
KEDAH,2018,2190,2163000.0,101.24826629680996,10.124826629680998,1.0124826629680999
PULAU PINANG,2018,6071,1762800.0,344.3952802359882,34.439528023598825,3.4439528023598824
PERAK,2018,2736,2503500.0,109.28699820251649,10.928699820251648,1.0928699820251648
SELANGOR,2018,45349,6475000.0,700.3706563706563,70.03706563706564,7.003706563706563
WPKL/PUTRAJAYA,2018,7591,1887200.0,402.2361169987282,40.223611699872826,4.022361169987282
N.SEMBILAN,2018,1864,1122900.0,165.9987532282483,16.59987532282483,1.6599875322824829
MELAKA,2018,722,922400.0,78.27406764960972,7.827406764960972,0.7827406764960971
JOHOR,2018,5885,3749400.0,156.95844668480288,15.695844668480289,1.569584466848029
PAHANG,2018,990,1664700.0,59.4701748062714,5.94701748062714,0.594701748062714
TERENGGANU,2018,550,1228300.0,44.77733452739559,4.4777334527395585,0.44777334527395585
KELANTAN,2018,1950,1860500.0,104.81053480247246,10.481053480247246,1.0481053480247247
SARAWAK,2018,823,2791700.0,29.480245011999852,2.9480245011999857,0.29480245011999856
SABAH,2018,3423,3898400.0,87.80525343730761,8.78052534373076,0.8780525343730761
LABUAN,2018,102,99000.0,103.03030303030305,10.303030303030303,1.0303030303030303
PERLIS,2019,288,254000.0,113.38582677165356,11.338582677165356,1.1338582677165356
KEDAH,2019,1587,2173700.0,73.00915489717993,7.300915489717992,0.7300915489717992
PULAU PINANG,2019,4119,1768800.0,232.86974219810045,23.28697421981004,2.3286974219810044
PERAK,2019,3226,2508800.0,128.5873724489796,12.85873724489796,1.285873724489796
SELANGOR,2019,72543,6506100.0,1114.9997694471342,111.49997694471341,11.149997694471342
WPKL/PUTRAJAYA,2019,15424,1886200.0,817.7287668327855,81.77287668327855,8.177287668327855
N.SEMBILAN,2019,2305,1126200.0,204.67057361037115,20.467057361037117,2.0467057361037115
MELAKA,2019,2156,928400.0,232.2274881516588,23.222748815165875,2.3222748815165875
JOHOR,2019,10873,3761200.0,289.0832712963948,28.908327129639478,2.890832712963948
PAHANG,2019,2873,1671400.0,171.89182721072154,17.189182721072154,1.7189182721072156
TERENGGANU,2019,542,1244500.0,43.551627159501805,4.355162715950181,0.43551627159501805
KELANTAN,2019,6003,1883800.0,318.6644017411615,31.86644017411615,3.186644017411615
SARAWAK,2019,2648,2806000.0,94.36920883820385,9.436920883820385,0.9436920883820384
SABAH,2019,5478,3904400.0,140.30324761807194,14.030324761807192,1.4030324761807191
LABUAN,2019,36,99300.0,36.25377643504532,3.6253776435045317,0.36253776435045315
